model,combination,features,validation_target_mse_lnK,validation_K_rmse,validation_K_mae,validation_K_r2,test_target_mse_lnK,test_K_rmse,test_K_mae,test_K_r2,validation_physical_metrics_finite,test_physical_metrics_finite,configured_neighbors,effective_neighbors
rbf_4,21_trace_sigma+MCN+q_over_p,"trace_sigma,MCN,q_over_p",0.007507958554511338,0.00047635459232762484,0.00025284502113681465,0.9560026195363014,0.010197420924300149,0.00034753491147891327,0.00020426168917073964,0.979697780892448,True,True,40,40
rbf_4,25_trace_sigma+q+q_over_p,"trace_sigma,q,q_over_p",0.025442324958422656,0.0005609519780295688,0.0003522694443448986,0.9389876890845066,0.2894248146782093,0.001874815989964904,0.0007421977896399524,0.40916810446246055,True,True,40,40
rbf_4,03_trace_sigma+density,"trace_sigma,density",0.056242743512787234,0.0006176696510181732,0.00043491655743201454,0.9260260800320617,0.05871411456709771,0.000623750004667836,0.0004442176171635448,0.9346015043750235,True,True,40,40
rbf_5,47_trace_sigma+density+MCN+q+a,"trace_sigma,density,MCN,q,a",0.05787701247928251,0.0006251375346979874,0.000422987012424031,0.9242265155723032,61.84277046263603,0.0007162433201954072,0.0005109750044913856,0.9137681300587904,True,True,25,25
rbf_5,55_trace_sigma+density+MCN+q_over_p+a,"trace_sigma,density,MCN,q_over_p,a",0.4632892888667526,0.0006276853128363994,0.0002922342182112135,0.923607619995401,2090332880.583395,5282033800932423.0,614023957123449.1,-4.6897423815878427e+36,True,True,25,25
rbf_4,17_trace_sigma+q_over_p,"trace_sigma,q_over_p",0.029883618639731907,0.0007586758295935439,0.00044035119199988914,0.8883962972618304,0.06713061815655315,0.0018727363011483158,0.0008120208224925101,0.4104781690048698,True,True,40,40
rbf_5,43_trace_sigma+density+q+a,"trace_sigma,density,q,a",0.15277724084923497,0.0008220871416214339,0.0005067649882255672,0.8689606235025149,1.0296530710357916,0.0006847371256013368,0.00040385312508114387,0.9211876304012652,True,True,25,25
rbf_4,62_density+MCN+q+q_over_p+a,"density,MCN,q,q_over_p,a",0.1235893501649259,0.0009089219848186942,0.0007908890777755911,0.8398159302182429,0.20333235319005255,0.00175091005304087,0.0012496890503842666,0.48468319311068475,True,True,40,40
rbf_5,49_trace_sigma+q_over_p+a,"trace_sigma,q_over_p,a",0.03430217132834051,0.000942559238617623,0.00039626451810553624,0.827740407166514,926.6608832513755,3.2106108696599896e+106,3.7322593252321393e+105,-1.7326944243440818e+218,True,True,25,25
rbf_4,01_trace_sigma,trace_sigma,0.14289330994552568,0.0009729523271723535,0.0008844816549867157,0.8164521805049915,0.1438734163125129,0.0009692881075363253,0.0008608142696093686,0.8420744481721201,True,True,40,40
rbf_4,33_trace_sigma+a,"trace_sigma,a",0.04477344245884566,0.0010717540328596172,0.0005983311411338181,0.7772814656612692,0.03824574209324895,0.0006428897716816179,0.000413847164847592,0.9305264218938808,True,True,40,40
rbf_4,24_q+q_over_p,"q,q_over_p",0.07200221952766214,0.001100440183929935,0.0006223303985027204,0.7651995154552818,0.10354744843040589,0.001661729709061917,0.0008485076234294831,0.5358403292856796,True,True,40,40
rbf_5,11_trace_sigma+density+q,"trace_sigma,density,q",0.05157634762622212,0.0011483000365047785,0.0005712934035366412,0.7443317113414438,167223.6910320994,0.0010478763836642229,0.0005683564422194068,0.8154276083422087,True,True,25,25
rbf_4,30_density+MCN+q+q_over_p,"density,MCN,q,q_over_p",0.14173109791631933,0.001640973035486048,0.0008643276943253786,0.4778816020834239,0.18852079411505587,0.0025066992144427546,0.0011558343887177551,-0.05621196840268006,True,True,40,40
rbf_4,60_MCN+q+q_over_p+a,"MCN,q,q_over_p,a",0.12062960720115938,0.0017365005496282407,0.0008747418968969122,0.4153230706859091,0.1657709804093128,0.002127419620796809,0.0011682137482100262,0.23923074137280287,True,True,40,40
rbf_4,44_MCN+q+a,"MCN,q,a",0.22512646706083636,0.0019517804911917706,0.0014928954470549282,0.2613681124608528,0.25842838812678204,0.00208494210732086,0.0015877279752051494,0.2693075241431052,True,True,40,40
rbf_5,03_trace_sigma+density,"trace_sigma,density",111.82657607162251,0.0021638333474082927,0.0014606509314322763,0.09215077688537754,332419.7962756531,0.0022228466706005613,0.0015491579451387338,0.16945025790238644,True,True,25,25
rbf_5,21_trace_sigma+MCN+q_over_p,"trace_sigma,MCN,q_over_p",313258600.0407146,0.0021987684803329156,0.0013506290256461197,0.06259964744508784,16055881168.895906,,,,True,False,25,25
rbf_4,40_q+a,"q,a",0.2619320379803133,0.0022493928667294276,0.0013981437803837274,0.018937367341961164,0.31038746771272746,0.0024112862781606554,0.0018073076749560997,0.022663352475668974,True,True,40,40
rbf_4,56_q+q_over_p+a,"q,q_over_p,a",0.16992177568827208,0.0022510838666773164,0.0012440425867743085,0.017461768783675002,0.17098671682368702,0.002422711370099443,0.0014806691172182993,0.013379830434491424,True,True,40,40
rbf_4,28_MCN+q+q_over_p,"MCN,q,q_over_p",0.20541922346834524,0.002300459285919913,0.0013885503672417833,-0.026113047823967506,0.19165647523445437,0.002199058281957974,0.001421473882187104,0.18713183760403906,True,True,40,40
rbf_4,46_density+MCN+q+a,"density,MCN,q,a",0.38356178453544654,0.002426484372105959,0.0019693491432780296,-0.14161877966845138,0.48282576610176364,0.002567967944830291,0.002081524180891124,-0.10847481710149709,True,True,40,40
rbf_5,01_trace_sigma,trace_sigma,7.016715815449152,0.002567098326257909,0.002248960712673775,-0.2777653717336539,7.054631299504874,0.0025735779201521616,0.002231413641608518,-0.11332324899707125,True,True,25,25
rbf_4,58_density+q+q_over_p+a,"density,q,q_over_p,a",0.22832219453661778,0.0031096597706246564,0.0014571122576203823,-0.8749593554052053,0.261751739714902,0.0034332940206747847,0.001774975770437647,-0.9813838957917644,True,True,40,40
rbf_4,42_density+q+a,"density,q,a",0.344812261957316,0.0031412439145999957,0.0024114125444589223,-0.913239892736172,0.3288842228269348,0.003144817095058343,0.0024613538872938446,-0.6624072251674344,True,True,40,40
rbf_5,14_density+MCN+q,"density,MCN,q",0.5925498750119359,0.003287338423104203,0.002573858006273651,-1.095342099883314,0.5864263685014217,0.003967440887826111,0.003008678761346105,-1.6458642851948317,True,True,25,25
rbf_4,14_density+MCN+q,"density,MCN,q",0.443528341830011,0.003347449235515626,0.0027465240943450723,-1.1726716944032392,0.4408979835822946,0.0034222823578745824,0.002894884265502528,-0.968694424949553,True,True,40,40
rbf_4,12_MCN+q,"MCN,q",0.574782151419434,0.0038246467579469497,0.0032780249403038166,-1.8362778120395618,0.581511445449415,0.004018318494448777,0.00357239426925601,-1.7141593824792083,True,True,40,40
rbf_4,23_trace_sigma+density+MCN+q_over_p,"trace_sigma,density,MCN,q_over_p",0.09676376301742116,0.0038299234850502502,0.0005797329616633226,-1.8441094310926536,0.14793640843668276,0.0069046542743281866,0.000956955861003489,-7.013652573636653,True,True,40,40
rbf_4,26_density+q+q_over_p,"density,q,q_over_p",0.4112148472162442,0.004267234168511709,0.0022501135499266435,-2.5306857022062825,0.4354570341627673,0.0044472132018621435,0.002497857371574723,-2.3244708941566565,True,True,40,40
rbf_4,10_density+q,"density,q",2.0649380324058164,0.004712850497224026,0.0038158667695264003,-3.3065890661880193,0.9175404418208338,0.03742515200010984,0.008247171504717514,-234.43649314592597,True,True,40,40
rbf_4,36_MCN+a,"MCN,a",1.3976243759222955,0.004870327232991436,0.003988547338085876,-3.5992010131832313,1.1309838668545729,0.005270610849042689,0.0042950832572259765,-3.6694801956619365,True,True,40,40
rbf_4,38_density+MCN+a,"density,MCN,a",0.6608926215769051,0.005024223465210593,0.0037776723424528436,-3.894451194234855,1.0178557156934263,0.007810230045388628,0.0052869875463093545,-9.253550775445467,True,True,40,40
rbf_5,04_MCN,MCN,1.697331652446485,0.005905813649168694,0.004512281717690625,-5.762785076219825,1.0762126277486812,0.019004911386222633,0.006046736879895471,-59.71253019129369,True,True,25,25
rbf_5,13_trace_sigma+MCN+q,"trace_sigma,MCN,q",0.11449292632277468,0.006621980261928494,0.0013129391365434802,-7.502406623185561,598117.2981923047,0.005076550122570477,0.0009849219761427059,-3.3319555477944123,True,True,25,25
rbf_5,40_q+a,"q,a",2.9435561313328367,0.006824143561302044,0.0032745434026886983,-8.02947326476998,0.7746890363993584,0.00748255128431732,0.0036004586832081645,-8.411222448315579,True,True,25,25
rbf_5,16_q_over_p,q_over_p,1.292996926567482,0.007138387966410214,0.0038289655069476992,-8.880215175096787,1.6347565567915219,0.015498981824356333,0.00618821623443374,-39.37875948707219,True,True,25,25
rbf_5,41_trace_sigma+q+a,"trace_sigma,q,a",0.22534457116464926,0.007275096619689209,0.0023854636518807894,-9.26227476067863,0.31103439605309396,0.0025341112476948697,0.0009617746897155029,-0.07943870808103415,True,True,25,25
rbf_5,35_trace_sigma+density+a,"trace_sigma,density,a",0.23862501995275043,0.00751965341434302,0.0016131435092611405,-9.963816431340389,0.16856403662030967,0.003469900356487526,0.0007897480389236662,-1.0238608136066563,True,True,25,25
rbf_4,06_density+MCN,"density,MCN",0.839364064483409,0.00923353688939474,0.005063416120989816,-15.531120226133439,0.6229224337061032,0.003973266900219419,0.003398446452007469,-1.6536406612309222,True,True,40,40
rbf_5,46_density+MCN+q+a,"density,MCN,q,a",26.396114513016094,0.009791815015407495,0.003506050015788648,-17.59056152559691,41.19520670736848,476.08239340677164,82.52737450755473,-38098763048.4893,True,True,25,25
rbf_4,04_MCN,MCN,2.1097548118410874,0.01118157844094286,0.006201076075801779,-23.242217132713947,1.821715093239858,0.013640509695132284,0.006564839010580547,-30.275757109486495,True,True,40,40
rbf_5,02_density,density,9.771747879189935,0.014303115857493533,0.006635010079426394,-38.6668231744193,1.0522764093727575,0.0069334740676238625,0.005427224849623809,-7.080689616779406,True,True,25,25
rbf_4,08_q,q,1.8212752157059047,0.016506756824554887,0.006368481171107076,-51.831095214676104,1.5294843853584237,0.014690534066007566,0.005351748966094944,-35.27620134600052,True,True,40,40
rbf_4,54_density+MCN+q_over_p+a,"density,MCN,q_over_p,a",1.8505237502861926,0.01994933474625222,0.011061334436667953,-76.16545880783958,2.2114489910560278,0.022468094679004458,0.013111704156554464,-83.85532967617183,True,True,40,40
rbf_4,22_density+MCN+q_over_p,"density,MCN,q_over_p",1.732772569856265,0.021406213940626,0.01072241661999707,-87.84762648865059,2.221141133390576,0.036697056831512996,0.015979948989221643,-225.3649089341951,True,True,40,40
rbf_4,02_density,density,2.0513035977869825,0.02497919742225496,0.008174893634024466,-119.98264304758173,1.2739514303943984,0.007219507733562851,0.00585185846702294,-7.761163928503882,True,True,40,40
rbf_4,32_a,a,2.7523118529359283,0.025698466737152585,0.006662798743973106,-127.05027994503061,6.93721002322182,32.54808425775501,3.806730913715408,-178072762.1515919,True,True,40,40
rbf_4,48_q_over_p+a,"q_over_p,a",4.985144990533907,0.03106109359984932,0.006075833390027704,-186.06803821812517,14.161487126154196,0.36797606530567156,0.048830002376825,-22759.708516463023,True,True,40,40
rbf_4,16_q_over_p,q_over_p,1.6640614171956905,0.031692523545902275,0.0075667917162579555,-193.75102428842612,2.4367188881382202,0.07941839491509954,0.01833489499020057,-1059.2025526268667,True,True,40,40
rbf_4,52_MCN+q_over_p+a,"MCN,q_over_p,a",2.5500107725863947,0.03315091229545937,0.01655455190403624,-212.0870593700583,3.907018586200178,0.04933920495903956,0.02711213757983911,-408.19557503172757,True,True,40,40
rbf_4,50_density+q_over_p+a,"density,q_over_p,a",2.3904547942394108,0.03910137586792172,0.014154003940790008,-295.449133818721,2.385199505811999,0.0326101302393878,0.01497523193779635,-177.75232575188696,True,True,40,40
rbf_5,12_MCN+q,"MCN,q",1.3639098288623894,0.09128565555145764,0.018151539821252366,-1614.7389133452493,0.8986856184294882,0.007564787662045105,0.005230351509795047,-8.619225789377564,True,True,25,25
rbf_5,22_density+MCN+q_over_p,"density,MCN,q_over_p",2.833189311882527,0.22185979742204984,0.05107990263327111,-9542.843988818751,3.0055908249338983,0.23492411233992908,0.05528396222952035,-9275.877538018054,True,True,25,25
rbf_4,18_density+q_over_p,"density,q_over_p",4.4518904473134375,0.4222592237420015,0.10676501870498083,-34570.99146915693,4.184960050943247,0.10052259646896934,0.03660170701067139,-1697.5331605341444,True,True,40,40
rbf_5,08_q,q,72.86134638906971,11.212471139872811,1.317260610126598,-24376354.987601865,0.44276629969702963,0.002531701547968903,0.0018492129050406035,-0.07738679623180245,True,True,25,25
rbf_5,06_density+MCN,"density,MCN",3.024140090105216,12.125313910416306,1.5071750568242213,-28507036.6163181,0.6342339802818151,0.003801203677959148,0.003234427736223806,-1.428784127972258,True,True,25,25
rbf_5,07_trace_sigma+density+MCN,"trace_sigma,density,MCN",10.21626207360987,16.34296984530659,4.58865593125031,-51787871.0049445,102910.12909270613,14.682938707418998,4.330328121196397,-36238698.71015664,True,True,25,25
rbf_5,32_a,a,9.055299121262323,17.11549770692291,2.0158033618356908,-56799585.292601034,30.39847041343388,246580.51974683566,37606.58549519835,-1.0220312186619676e+16,True,True,25,25
rbf_4,20_MCN+q_over_p,"MCN,q_over_p",13.736530528883598,17.341029756421698,4.153422491522549,-58306351.53167864,17.520755521997934,17.333633054743686,5.3158410588409115,-50504005.41946423,True,True,40,40
rbf_5,38_density+MCN+a,"density,MCN,a",7.322212516582766,29.603891866745904,3.9818430495904655,-169927521.52024382,12.649924431607623,329.3874682110837,59.69332126064663,-18237309929.421368,True,True,25,25
rbf_5,23_trace_sigma+density+MCN+q_over_p,"trace_sigma,density,MCN,q_over_p",21985306780.802387,97.15084986607818,18.453842985865062,-1830034660.2126453,26926846215.84606,,,,True,False,25,25
rbf_5,62_density+MCN+q+q_over_p+a,"density,MCN,q,q_over_p,a",2812.6320375492614,189.7916967258875,22.936918705181142,-6984262019.959111,870.7936942018958,1.2418589506318704e+66,1.4436317066383217e+65,-2.59233532642834e+137,True,True,25,25
rbf_5,50_density+q_over_p+a,"density,q_over_p,a",26.49726441767015,734.8990548402718,115.93235425504896,-104718035151.23663,14.661025938806304,168.80049797104974,27.661132207788246,-4789543052.148103,True,True,25,25
rbf_5,60_MCN+q+q_over_p+a,"MCN,q,q_over_p,a",783.499910972476,3263.720950842124,381.99535815655423,-2065342804326.0654,31.014137114463924,608423830092.1824,70727833603.71136,-6.222416334881442e+28,True,True,25,25
rbf_5,54_density+MCN+q_over_p+a,"density,MCN,q_over_p,a",8.325010954468892,12130.385669365383,1420.1161418590443,-28530890369613.3,7.116024851138169,3.093640609591158,0.6559045536421944,-1608740.8305716284,True,True,25,25
rbf_4,34_density+a,"density,a",11.551042932046741,24522.548454008487,2920.5842396924036,-116599666929682.55,16.299407177579873,9800.327481723596,1627.8587710267266,-16144619377021.875,True,True,40,40
rbf_5,48_q_over_p+a,"q_over_p,a",60.838223994170704,555536.9721364826,65046.729619809295,-5.984006299760096e+16,74.74684885048546,93937525374.22182,10920044748.902847,-1.48328588845386e+27,True,True,25,25
rbf_5,29_trace_sigma+MCN+q+q_over_p,"trace_sigma,MCN,q,q_over_p",10.506218405431262,2765277.384952741,324411.09357144445,-1.4826666227771108e+18,72106189.90436009,0.038532735988774006,0.006555471672494938,-248.57801614226187,True,True,25,25
rbf_5,58_density+q+q_over_p+a,"density,q,q_over_p,a",4966.620656675851,38994360.41123102,4567622.333041302,-2.948286677557801e+20,10333.392551163863,7.844041604186115e+26,9.118513149568368e+25,-1.0342521001432386e+59,True,True,25,25
rbf_5,36_MCN+a,"MCN,a",120.84443975074308,49111946271.90983,5748118532.707385,-4.6767095402770484e+26,52.701699677390685,336741886.34692085,39401674.76569917,-1.9060790819745606e+22,True,True,25,25
